CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
3256-EZDBI,1,United States,California,Greenville,95947,"40.160386, -120.835428",40.160386,-120.835428,Male,Yes,Yes,No,51,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),29.45,1459.35,No,0,80,6285,
9107-UKCKY,1,United States,California,Carpinteria,93013,"34.441398, -119.513163",34.441398,-119.513163,Male,No,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,79.8,4914.8,No,0,24,6432,
2005-DWQZJ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.05,201.7,No,0,47,3153,
8884-ADFVN,1,United States,California,Roseville,95678,"38.759751, -121.288545",38.759751,-121.288545,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,Yes,1,74,2016,Don't know
6704-UTUKK,1,United States,California,Exeter,93221,"36.301689, -119.018233",36.301689,-119.018233,Male,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.9,1332.4,No,0,37,5074,
0310-SUCIN,1,United States,California,Darwin,93522,"36.319181, -117.593053",36.319181,-117.593053,Female,No,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.8,6046.1,No,0,28,5643,
0323-XWWTN,1,United States,California,San Lucas,93954,"36.125529, -120.864443",36.125529,-120.864443,Male,No,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4,121.25,No,0,77,4315,
9244-ZVAPM,1,United States,California,Garden Grove,92845,"33.782955, -118.026456",33.782955,-118.026456,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.6,45.6,No,0,50,2352,
0330-BGYZE,1,United States,California,Milford,96121,"40.181279, -120.392967",40.181279,-120.392967,Male,No,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),102.5,6157.6,No,0,54,4968,
6608-QQLVK,1,United States,California,Bangor,95914,"39.396585, -121.38029",39.396585,-121.38029,Male,No,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.5,50.5,Yes,1,83,2077,Competitor made better offer
